train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1.718411922454834,0.2,1.6136252880096436,0.2,1.6101973056793213,0.2
1.665533185005188,0.2,1.605468988418579,0.2,1.6074382066726685,0.2
1.5902940034866333,0.2,1.6028450727462769,0.2,1.6079264879226685,0.2
1.6368141174316406,0.22666666666666666,1.5925300121307373,0.14,1.6051575541496277,0.2
1.4825342893600464,0.245,1.610978364944458,0.14,1.6224560141563416,0.18
1.5890618562698364,0.31666666666666665,1.670677661895752,0.14,1.6320210099220276,0.17
1.5061492919921875,0.37,1.8336327075958252,0.17,1.7538270950317383,0.17
1.3680590391159058,0.38166666666666665,1.713867425918579,0.18,1.7262075543403625,0.19
1.3646979331970215,0.435,1.9625660181045532,0.24,1.750242531299591,0.23
1.3189465999603271,0.4816666666666667,1.7543599605560303,0.2,1.8750309348106384,0.21
1.3164005279541016,0.5233333333333333,1.914032220840454,0.18,1.7897791266441345,0.22
1.1853852272033691,0.545,1.9850964546203613,0.21,2.0910537242889404,0.27
1.0168653726577759,0.5666666666666667,2.255524158477783,0.18,2.189611792564392,0.19
1.1558407545089722,0.67,2.060089111328125,0.23,2.0579618215560913,0.21
1.0916169881820679,0.71,2.245786428451538,0.21,1.9677886962890625,0.24
1.0295573472976685,0.7183333333333334,2.3499412536621094,0.25,2.1843403577804565,0.23
0.8854482769966125,0.7583333333333333,3.1323232650756836,0.19,3.307140350341797,0.2
0.9359502196311951,0.73,2.9707624912261963,0.19,3.7717630863189697,0.22
0.7828367352485657,0.7533333333333333,2.613064765930176,0.23,3.123247742652893,0.25
0.8294427394866943,0.8083333333333333,3.9109842777252197,0.18,3.0090099573135376,0.18
0.8540315628051758,0.745,2.2377021312713623,0.22,2.385233521461487,0.17
0.7909261584281921,0.7716666666666666,2.2737271785736084,0.16,2.3737833499908447,0.21
0.6390785574913025,0.81,2.598937511444092,0.22,2.5924177169799805,0.23
0.5513517260551453,0.8616666666666667,2.2596492767333984,0.25,2.219120740890503,0.21
0.4126873016357422,0.8783333333333333,3.7262227535247803,0.24,3.5216777324676514,0.24
0.3520183265209198,0.9183333333333333,2.987783908843994,0.21,2.435296654701233,0.23
0.35914576053619385,0.9316666666666666,2.2226524353027344,0.22,2.3892674446105957,0.22
0.21955208480358124,0.9466666666666667,2.4222655296325684,0.19,2.5167993307113647,0.24
0.3860854208469391,0.94,3.859962224960327,0.17,3.333813786506653,0.19
0.275484174489975,0.9383333333333334,2.40946888923645,0.22,2.012244939804077,0.23
0.24769605696201324,0.9416666666666667,3.2018518447875977,0.24,2.6962887048721313,0.29
0.2171749621629715,0.9483333333333334,3.2318687438964844,0.13,3.2824548482894897,0.24
0.12782417237758636,0.945,3.1387319564819336,0.16,2.7560060024261475,0.26
0.16294847428798676,0.9583333333333334,2.5582423210144043,0.17,2.261622667312622,0.31
0.10148213058710098,0.9866666666666667,3.852213144302368,0.12,3.97810697555542,0.26
0.0788969099521637,0.9766666666666667,3.1903653144836426,0.18,4.023000359535217,0.24
0.16243818402290344,0.9666666666666667,3.130307197570801,0.13,2.8021156787872314,0.21
0.07035818696022034,0.985,3.310718297958374,0.23,2.9534486532211304,0.25
0.11398673802614212,0.975,2.585282802581787,0.23,2.5685930252075195,0.22
0.20162183046340942,0.9783333333333334,3.043954610824585,0.22,2.978747010231018,0.24
0.14573527872562408,0.9766666666666667,2.859797954559326,0.15,3.3603882789611816,0.23
0.1820799857378006,0.975,3.5249838829040527,0.19,4.108782768249512,0.22
0.09923882782459259,0.965,2.8882503509521484,0.22,2.633077621459961,0.23
0.08235490322113037,0.9716666666666667,2.615419626235962,0.26,2.7121502161026,0.25
0.20503495633602142,0.965,2.5902018547058105,0.21,2.5806809663772583,0.28
0.07073818892240524,0.9783333333333334,3.5305099487304688,0.12,3.3189034461975098,0.24
0.0554841123521328,0.98,2.95794677734375,0.2,2.1384766697883606,0.29
0.10265571624040604,0.9783333333333334,3.158590793609619,0.15,2.8247915506362915,0.27
0.0544147714972496,0.9716666666666667,3.968998432159424,0.22,3.0694581270217896,0.28
0.0654783546924591,0.9866666666666667,3.3513777256011963,0.18,3.202070951461792,0.29
