,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,36.520706,41.84172,29.834824,34.658493,35.069557,31.629456,41.020172,31.721268,30.271423,48.418915,86.356575,44.44183,30.227764,34.275627,34.927288
1,36.520706,0.0,51.264412,39.228287,45.800327,38.92103,37.907677,38.712845,36.920982,35.36746,51.26111,88.475784,47.816757,42.274223,41.625664,36.894295
2,41.84172,51.264412,0.0,48.253387,45.888855,48.52977,45.896835,47.173336,48.36714,44.987743,51.45227,92.70931,59.412735,43.367905,49.88188,52.014553
3,29.834824,39.228287,48.253387,0.0,40.55237,33.53623,29.430874,41.00152,25.87941,31.193974,49.328194,96.99298,48.014412,27.555367,26.596111,26.060747
4,34.658493,45.800327,45.888855,40.55237,0.0,42.67542,40.24019,38.119766,42.48936,38.39608,43.478935,82.82093,50.061165,40.93323,42.253952,42.6942
5,35.069557,38.92103,48.52977,33.53623,42.67542,0.0,27.256699,41.152786,30.35083,36.11824,49.374092,100.90963,47.152657,31.405426,29.629581,31.168224
6,31.629456,37.907677,45.896835,29.430874,40.24019,27.256699,0.0,44.08335,30.02658,33.140312,53.06534,96.367035,49.01974,25.689009,26.089083,30.649956
7,41.020172,38.712845,47.173336,41.00152,38.119766,41.152786,44.08335,0.0,42.2046,35.071747,48.643047,90.84541,47.298855,44.183956,42.383606,45.1421
8,31.721268,36.920982,48.36714,25.87941,42.48936,30.35083,30.02658,42.2046,0.0,29.551422,48.088432,96.66616,43.46192,30.447666,28.489422,28.161003
9,30.271423,35.36746,44.987743,31.193974,38.39608,36.11824,33.140312,35.071747,29.551422,0.0,42.955284,89.71129,43.85334,33.415634,33.881935,33.085987
10,48.418915,51.26111,51.45227,49.328194,43.478935,49.374092,53.06534,48.643047,48.088432,42.955284,0.0,94.590904,49.7875,50.598164,54.679947,45.843445
11,86.356575,88.475784,92.70931,96.99298,82.82093,100.90963,96.367035,90.84541,96.66616,89.71129,94.590904,0.0,89.18438,92.87371,96.922676,101.46164
12,44.44183,47.816757,59.412735,48.014412,50.061165,47.152657,49.01974,47.298855,43.46192,43.85334,49.7875,89.18438,0.0,46.881287,45.56042,48.438904
13,30.227764,42.274223,43.367905,27.555367,40.93323,31.405426,25.689009,44.183956,30.447666,33.415634,50.598164,92.87371,46.881287,0.0,26.004955,32.5084
14,34.275627,41.625664,49.88188,26.596111,42.253952,29.629581,26.089083,42.383606,28.489422,33.881935,54.679947,96.922676,45.56042,26.004955,0.0,32.678635
15,34.927288,36.894295,52.014553,26.060747,42.6942,31.168224,30.649956,45.1421,28.161003,33.085987,45.843445,101.46164,48.438904,32.5084,32.678635,0.0
