train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1.619805932044983,0.23666666666666666,1.6095541715621948,0.24,1.6091707944869995,0.24
1.7243283987045288,0.2325,1.6081453561782837,0.24,1.6134149432182312,0.24
1.6434284448623657,0.25416666666666665,1.6076661348342896,0.24,1.6180837750434875,0.24
1.5375175476074219,0.25083333333333335,1.611588478088379,0.24,1.6291330456733704,0.24
1.6047073602676392,0.265,1.6213264465332031,0.26,1.644257128238678,0.24
1.6582841873168945,0.27416666666666667,1.6034027338027954,0.25,1.6377019882202148,0.24
1.6343883275985718,0.27166666666666667,1.5997339487075806,0.25,1.6366241574287415,0.24
1.540845274925232,0.30083333333333334,1.6059101819992065,0.26,1.6493934392929077,0.24
1.6131938695907593,0.32083333333333336,1.6011234521865845,0.28,1.6518377661705017,0.22
1.5065217018127441,0.35833333333333334,1.606877088546753,0.17,1.6605426669120789,0.22
1.507442593574524,0.39666666666666667,1.5866725444793701,0.21,1.6733770370483398,0.27
1.4680792093276978,0.415,1.5972445011138916,0.24,1.6462804079055786,0.32
1.5088862180709839,0.4608333333333333,1.6142317056655884,0.23,1.727701187133789,0.27
1.5466194152832031,0.4841666666666667,1.5407956838607788,0.26,1.5628055930137634,0.31
1.2327584028244019,0.5333333333333333,1.5747977495193481,0.27,1.692193329334259,0.29
1.2710886001586914,0.5658333333333333,1.4299108982086182,0.33,1.7388923168182373,0.38
1.0720223188400269,0.6066666666666667,1.3849127292633057,0.37,1.6351340413093567,0.37
1.0508450269699097,0.655,1.3085792064666748,0.49,1.6739519238471985,0.35
0.992753267288208,0.6608333333333334,1.3730390071868896,0.37,1.7115065455436707,0.38
0.9835807681083679,0.72,1.4099817276000977,0.37,1.620304524898529,0.36
0.9899824261665344,0.7483333333333333,1.2686676979064941,0.45,1.7248571515083313,0.33
0.8052630424499512,0.7991666666666667,1.3682256937026978,0.37,1.6963279247283936,0.33
0.717144250869751,0.815,1.5745207071304321,0.36,1.9480759501457214,0.25
0.6670910716056824,0.8358333333333333,1.4584894180297852,0.39,1.8073593974113464,0.26
0.5190644860267639,0.8675,1.2540514469146729,0.5,1.6702327728271484,0.42
0.5021533966064453,0.8583333333333333,1.2585773468017578,0.49,1.6008005142211914,0.35
0.5029435157775879,0.8966666666666666,1.5484161376953125,0.38,1.9881064891815186,0.24
0.433790922164917,0.9058333333333334,1.5089317560195923,0.35,1.78577321767807,0.33
0.4122667610645294,0.9225,1.3800904750823975,0.46,1.68958979845047,0.4
0.46495911478996277,0.9316666666666666,1.5919276475906372,0.42,1.8667665123939514,0.37
0.44288691878318787,0.9183333333333333,2.6384949684143066,0.27,2.8485065698623657,0.26
0.3109275996685028,0.9358333333333333,1.44777250289917,0.45,1.7416493892669678,0.32
0.2541755139827728,0.95,1.3847695589065552,0.46,1.5830504298210144,0.45
0.3731663227081299,0.9466666666666667,2.0545578002929688,0.32,2.593016266822815,0.25
0.31083306670188904,0.9566666666666667,1.6009856462478638,0.43,1.9135608673095703,0.35
0.34265008568763733,0.9375,1.8485783338546753,0.3,2.405751943588257,0.25
0.4611639976501465,0.9541666666666667,1.643364667892456,0.38,1.8840824365615845,0.36
0.22765038907527924,0.9558333333333333,1.5865010023117065,0.45,1.7921407222747803,0.37
0.17790810763835907,0.9625,1.520700216293335,0.3,2.1656129360198975,0.23
0.271876722574234,0.9558333333333333,2.235018253326416,0.37,2.229118764400482,0.34
0.3315396010875702,0.965,1.4458863735198975,0.43,1.7261854410171509,0.35
0.23398418724536896,0.9716666666666667,1.4269205331802368,0.44,1.7021753191947937,0.38
0.17364583909511566,0.975,1.439537763595581,0.43,1.8507320880889893,0.33
0.18705187737941742,0.9691666666666666,1.5880725383758545,0.39,1.7791870832443237,0.37
0.19024288654327393,0.9683333333333334,1.4012951850891113,0.46,1.6465952396392822,0.33
0.20341967046260834,0.9583333333333334,1.6685296297073364,0.39,1.839102864265442,0.42
0.16084842383861542,0.9775,1.3116075992584229,0.5,1.57380610704422,0.35
0.11471050977706909,0.975,1.3645261526107788,0.45,1.7228650450706482,0.31
0.18918748199939728,0.975,1.683192253112793,0.4,1.8477004766464233,0.34
0.1439514011144638,0.9808333333333333,1.883073329925537,0.34,2.2827608585357666,0.25
0.16660557687282562,0.9791666666666666,1.4576945304870605,0.49,1.5787248611450195,0.44
0.201266810297966,0.98,1.5132008790969849,0.42,1.7437866926193237,0.37
0.11199957132339478,0.9758333333333333,1.458601474761963,0.49,1.5191149711608887,0.45
0.3093492090702057,0.9783333333333334,1.6361374855041504,0.39,1.962236225605011,0.33
0.08094418048858643,0.9766666666666667,1.657177448272705,0.38,1.9265932440757751,0.37
0.1830006092786789,0.975,1.6184803247451782,0.42,1.659399926662445,0.38
0.12972307205200195,0.98,1.3825420141220093,0.46,1.5748860239982605,0.42
0.22088725864887238,0.9858333333333333,1.5113588571548462,0.45,1.6735604405403137,0.44
