train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1.5609924793243408,0.24,1.6067373752593994,0.2,1.6079868078231812,0.2
1.672438144683838,0.24,1.6080970764160156,0.19,1.6104812622070312,0.2
1.5612356662750244,0.23944444444444443,1.6089612245559692,0.19,1.6133253574371338,0.21
1.3643527030944824,0.2388888888888889,1.6088579893112183,0.2,1.618283748626709,0.17
1.3178478479385376,0.24055555555555555,1.6095019578933716,0.23,1.6291335821151733,0.21
1.755679726600647,0.2427777777777778,1.6099371910095215,0.23,1.6423741579055786,0.23
1.5438189506530762,0.24444444444444444,1.610123872756958,0.23,1.650183916091919,0.21
1.7801474332809448,0.24555555555555555,1.608701467514038,0.22,1.640048623085022,0.21
1.377325177192688,0.24333333333333335,1.6059805154800415,0.21,1.6349068880081177,0.23
1.5072875022888184,0.24388888888888888,1.6052422523498535,0.24,1.6311028003692627,0.27
1.608492374420166,0.24944444444444444,1.605323314666748,0.22,1.6338140964508057,0.27
1.6126599311828613,0.26055555555555554,1.604436993598938,0.22,1.6541509628295898,0.25
1.5140172243118286,0.2683333333333333,1.6081018447875977,0.22,1.670501708984375,0.26
1.476301670074463,0.2866666666666667,1.6028028726577759,0.21,1.6677993535995483,0.28
1.6087820529937744,0.30777777777777776,1.6020255088806152,0.24,1.6899009943008423,0.29
1.746092677116394,0.32666666666666666,1.5832501649856567,0.26,1.684572458267212,0.27
1.579602837562561,0.34055555555555556,1.5642017126083374,0.25,1.6618282794952393,0.3
1.7262766361236572,0.3883333333333333,1.573453664779663,0.27,1.7473641633987427,0.31
1.3308196067810059,0.3844444444444444,1.552174687385559,0.33,1.735256314277649,0.3
1.4668829441070557,0.41944444444444445,1.5785574913024902,0.26,1.7728056907653809,0.27
1.639951467514038,0.41888888888888887,1.5265735387802124,0.28,1.779029369354248,0.34
1.007328748703003,0.4177777777777778,1.4853689670562744,0.32,1.6273739337921143,0.37
1.1276965141296387,0.43666666666666665,1.519768476486206,0.38,1.6788684129714966,0.39
1.5069420337677002,0.4688888888888889,1.4893178939819336,0.36,1.6478266716003418,0.39
1.6206934452056885,0.49944444444444447,1.5186755657196045,0.35,1.6809403896331787,0.37
0.9125806093215942,0.5122222222222222,1.512132167816162,0.34,1.6845343112945557,0.38
1.1611135005950928,0.5261111111111111,1.6316665410995483,0.33,1.713969111442566,0.35
1.549423098564148,0.5233333333333333,1.6796810626983643,0.29,1.7794376611709595,0.31
1.2366087436676025,0.5461111111111111,1.4321399927139282,0.4,1.6113524436950684,0.35
1.0910310745239258,0.5583333333333333,1.5303590297698975,0.35,1.6710128784179688,0.37
1.5362493991851807,0.5794444444444444,1.4571664333343506,0.35,1.7056084871292114,0.36
0.797760009765625,0.5877777777777777,1.6548895835876465,0.34,1.872422218322754,0.34
0.5271965265274048,0.6361111111111111,1.4604253768920898,0.35,1.6628012657165527,0.4
1.301838994026184,0.6433333333333333,1.4160566329956055,0.4,1.6492210626602173,0.36
1.2995164394378662,0.6488888888888888,1.459033489227295,0.34,1.6241384744644165,0.39
1.3957922458648682,0.6561111111111111,1.7090874910354614,0.3,1.9319747686386108,0.3
1.433638572692871,0.6433333333333333,1.6105422973632812,0.28,1.7065539360046387,0.37
0.9099053144454956,0.6472222222222223,2.2782812118530273,0.24,2.2030909061431885,0.28
0.5394938588142395,0.6738888888888889,1.6117411851882935,0.31,1.833741307258606,0.35
1.0505667924880981,0.7027777777777777,1.474928855895996,0.37,1.6889516115188599,0.43
0.9508506655693054,0.7405555555555555,1.5174990892410278,0.4,1.6804345846176147,0.4
1.0712183713912964,0.7461111111111111,1.6174997091293335,0.35,1.8080867528915405,0.44
0.7030504941940308,0.7811111111111111,1.524380087852478,0.37,1.7446829080581665,0.34
0.3796130418777466,0.78,1.5324468612670898,0.35,1.6749225854873657,0.38
