train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
1.5931310653686523,0.23777777777777778,1.6059170961380005,0.22,1.6031721234321594,0.23
1.6175751686096191,0.23666666666666666,1.6034049987792969,0.25,1.6066645979881287,0.24
1.54511559009552,0.24,1.5988799333572388,0.24,1.604562520980835,0.24
1.6743232011795044,0.24222222222222223,1.600127935409546,0.24,1.6100622415542603,0.24
1.6086194515228271,0.25055555555555553,1.6006202697753906,0.25,1.6093278527259827,0.24
1.572242259979248,0.25666666666666665,1.6005359888076782,0.24,1.606870949268341,0.24
1.5720436573028564,0.2927777777777778,1.601468801498413,0.24,1.6127992868423462,0.24
1.5922309160232544,0.3061111111111111,1.59173583984375,0.26,1.6358941793441772,0.22
1.6021796464920044,0.33111111111111113,1.5766932964324951,0.29,1.6424801349639893,0.22
1.562070608139038,0.3661111111111111,1.5429399013519287,0.32,1.6297358870506287,0.24
1.7579469680786133,0.3938888888888889,1.5949681997299194,0.26,1.7332997918128967,0.19
1.0769798755645752,0.48444444444444446,1.5326248407363892,0.32,1.6487289667129517,0.23
1.28846275806427,0.5427777777777778,1.5658652782440186,0.31,1.6750369668006897,0.25
1.483642339706421,0.5722222222222222,1.814967393875122,0.24,2.028359353542328,0.22
1.0575443506240845,0.5927777777777777,1.5969593524932861,0.29,1.7117783427238464,0.28
1.158735752105713,0.6011111111111112,1.5927221775054932,0.26,1.828785479068756,0.24
1.4769295454025269,0.6538888888888889,1.6096868515014648,0.27,1.8581056594848633,0.3
0.9381645917892456,0.6866666666666666,1.6381173133850098,0.3,1.8358782529830933,0.27
0.9190691113471985,0.7266666666666667,1.7291789054870605,0.29,1.927859604358673,0.21
0.9955114722251892,0.7594444444444445,2.118067741394043,0.28,2.489826202392578,0.22
0.9583030343055725,0.8055555555555556,1.9875023365020752,0.28,2.0723637342453003,0.19
0.7355265617370605,0.7977777777777778,1.6858344078063965,0.35,1.8804115653038025,0.23
0.5135576128959656,0.8561111111111112,2.308701515197754,0.22,2.408682942390442,0.2
0.4907801151275635,0.8705555555555555,2.1391167640686035,0.23,2.3536728620529175,0.26
1.1635594367980957,0.9005555555555556,2.0442075729370117,0.26,2.2101492881774902,0.25
0.6944036483764648,0.9005555555555556,1.827345609664917,0.36,2.172024726867676,0.23
0.3927054703235626,0.9066666666666666,2.1006922721862793,0.31,2.4290740489959717,0.23
0.715113639831543,0.935,2.400817394256592,0.25,2.4424595832824707,0.22
0.5219712257385254,0.9411111111111111,2.249128818511963,0.27,2.471377968788147,0.21
0.25649306178092957,0.965,2.060516119003296,0.32,2.244673490524292,0.24
0.26620545983314514,0.9644444444444444,2.025503635406494,0.32,2.236421823501587,0.28
0.8330330848693848,0.9694444444444444,3.2169926166534424,0.2,3.082629442214966,0.19
0.3499342203140259,0.9616666666666667,2.312891721725464,0.27,2.4918625354766846,0.26
0.21731311082839966,0.96,2.41168212890625,0.23,2.6693027019500732,0.25
0.6048413515090942,0.9783333333333334,1.872601866722107,0.29,2.165718674659729,0.26
0.2037481665611267,0.9794444444444445,2.8488821983337402,0.27,3.036218523979187,0.23
0.5729944109916687,0.9755555555555555,2.192800521850586,0.28,2.253366708755493,0.24
0.5037516951560974,0.9572222222222222,2.354429244995117,0.27,2.4093812704086304,0.19
