base_hp_config,subject,pool_type,train_loss_mean,train_acc_mean,val_loss_mean,val_acc_mean,test_loss_mean,test_acc_mean,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,pooled,0.9860365271568299,0.8035555555555556,0.93204185962677,0.6759999999999999,0.8545575499534607,0.6759999999999999,0.5785906786407916,0.09900632851701834,0.03492629551791248,0.027928480087537875,0.09534077382583502,0.0260768096208106
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,1,single,0.4500178098678589,0.9163333333333334,1.0911955118179322,0.61,1.001016902923584,0.654,0.0650614215028055,0.022279786553934686,0.062228771767015544,0.033911649915626375,0.05846778565966547,0.025099800796022247
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,pooled,0.9251358032226562,0.8433333333333334,1.3353009700775147,0.49400000000000005,0.9120428442955018,0.71,0.1405330193708542,0.031081334957109734,0.08741730042477186,0.051283525619832376,0.14883942363034636,0.07713624310270759
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,single,1.1328935265541076,0.4936666666666666,1.5223542690277099,0.31799999999999995,1.315627133846283,0.40199999999999997,0.7174386989260273,0.3972376842367523,0.11904476794858207,0.14703741020570243,0.4052142032989308,0.25907527863538043
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,0.9228838920593262,0.7473333333333334,1.5488473653793335,0.33999999999999997,1.5335955381393434,0.366,0.14888152868323726,0.061662161997632074,0.0290412612261934,0.023452078799117135,0.03323119069541587,0.04615192303685729
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,0.9228838920593262,0.7473333333333334,1.5488473653793335,0.33999999999999997,1.5335955381393434,0.366,0.14888152868323726,0.061662161997632074,0.0290412612261934,0.023452078799117135,0.03323119069541587,0.04615192303685729
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,1.5886902570724488,0.23816666666666664,1.6051896810531616,0.21000000000000002,1.6129367113113404,0.186,0.036007268151640286,0.026110076811666227,0.0036031607486018374,0.02549509756796391,0.004754398999205199,0.05176871642217914
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,1.6229974269866942,0.25999999999999995,1.6099198579788208,0.21800000000000003,1.6133915185928345,0.188,0.06335579086591471,0.06490377492873582,0.004449280467365635,0.0408656334834051,0.004711258180188343,0.023874672772626646
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,1.559592366218567,0.2713333333333333,1.6021804571151734,0.23600000000000004,1.6089948892593384,0.21000000000000002,0.03629435904895779,0.029472209131843344,0.00731739368378599,0.03507135583350038,0.005008277576049122,0.029999999999999992
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,1.559592366218567,0.2713333333333333,1.6021804571151734,0.23600000000000004,1.6089948892593384,0.21000000000000002,0.03629435904895779,0.029472209131843344,0.00731739368378599,0.03507135583350038,0.005008277576049122,0.029999999999999992
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,pooled,0.47821238934993743,0.9144444444444444,1.0543064832687379,0.5740000000000001,1.219881296157837,0.512,0.26468903103690034,0.035982677588247254,0.06059060298485947,0.038470768123342686,0.12989176734154376,0.031144823004794875
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,0.17041471451520915,0.991,1.1408279657363891,0.532,1.5044752359390259,0.434,0.07697229076861885,0.0060781941762700535,0.05002587078079296,0.024899799195977474,0.05988573360847629,0.033615472627943184
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,pooled,0.8386570990085602,0.8604444444444445,1.3646742105484009,0.44400000000000006,1.6097644567489624,0.42400000000000004,0.34487421166190113,0.038174792924321396,0.023888633778680435,0.029664793948382638,0.0748623367467602,0.008944271909999166
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,7,single,0.42676289975643156,0.9333333333333333,1.4062281608581544,0.396,1.6350946187973023,0.392,0.14736176372465515,0.039651257511234404,0.08406969005190813,0.05899152481501049,0.07261521556792003,0.019235384061671336
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,pooled,1.580720567703247,0.3222499999999999,1.5960876941680908,0.248,1.6092503309249877,0.21800000000000003,0.051694611339659954,0.07162583623711956,0.012064923699338845,0.016431676725154994,0.009677087373240256,0.02049390153191919
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,8,single,1.574622631072998,0.2853333333333333,1.6106601715087892,0.21000000000000002,1.609464168548584,0.22800000000000004,0.1412135897631031,0.1561934342054393,0.004094532985191305,0.018708286933869715,0.004544530101072742,0.02774887385102321
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,9,pooled,0.575668665766716,0.8867777777777779,0.3735491216182708,0.8699999999999999,0.9025942564010621,0.6599999999999999,0.3807978717089378,0.061516834993799285,0.042258773319703784,0.017320508075688797,0.10785005765754735,0.0308220700148449
