base_hp_config,subject,train_loss_mean_all,train_loss_mean_pooled,train_loss_mean_single,train_acc_mean_all,train_acc_mean_pooled,train_acc_mean_single,val_loss_mean_all,val_loss_mean_pooled,val_loss_mean_single,val_acc_mean_all,val_acc_mean_pooled,val_acc_mean_single,test_loss_mean_all,test_loss_mean_pooled,test_loss_mean_single,test_acc_mean_all,test_acc_mean_pooled,test_acc_mean_single,train_loss_std_all,train_loss_std_pooled,train_loss_std_single,train_acc_std_all,train_acc_std_pooled,train_acc_std_single,val_loss_std_all,val_loss_std_pooled,val_loss_std_single,val_acc_std_all,val_acc_std_pooled,val_acc_std_single,test_loss_std_all,test_loss_std_pooled,test_loss_std_single,test_acc_std_all,test_acc_std_pooled,test_acc_std_single
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,1,0.8695659518241883,0.5119410574436187,0.01451693959534164,0.7127272727272727,0.9971111111111111,1.0,0.8921581029891967,0.8005664944648743,1.009229564666748,0.674,0.702,0.614,0.7419138431549073,0.7516006708145142,0.9166118264198303,0.702,0.738,0.6519999999999999,0.21631890341965596,0.43608656521484995,0.0036351803696961656,0.08321755041989623,0.0046877829132731105,0.0,0.04625589708355095,0.051608923899525934,0.037681032453860994,0.040987803063838375,0.01303840481040527,0.028809720581775892,0.05205861574809098,0.12581451739254232,0.13417537848978559,0.03346640106136302,0.05069516742254631,0.04764451699828634
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,2,0.8695659518241883,0.538250721991062,0.3638507828116416,0.7127272727272727,0.9906666666666666,0.834,0.8921581029891967,1.0983319520950316,1.412603735923767,0.674,0.634,0.47400000000000003,0.7419138431549073,0.7135214447975159,1.0482349157333375,0.702,0.808,0.634,0.21631890341965596,0.4646598159165526,0.6911033738979434,0.08321755041989623,0.007478363853539457,0.3711872842649651,0.04625589708355095,0.2311617437052843,0.19081295745259777,0.040987803063838375,0.06841052550594827,0.12778888840583905,0.05205861574809098,0.12261152978379371,0.319586250960712,0.03346640106136302,0.03633180424916988,0.2374447304111001
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,3,0.8695659518241883,0.16669683381915087,0.16669683381915087,0.7127272727272727,0.9986666666666666,0.9986666666666666,0.8921581029891967,1.4961928367614745,1.4961928367614745,0.674,0.362,0.362,0.7419138431549073,1.4837959289550782,1.4837959289550782,0.702,0.372,0.372,0.21631890341965596,0.11103981234355569,0.11103981234355569,0.08321755041989623,0.0029814239699997762,0.0029814239699997762,0.04625589708355095,0.017371251224383162,0.017371251224383162,0.040987803063838375,0.03563705936241094,0.03563705936241094,0.05205861574809098,0.05280865533010718,0.05280865533010718,0.03346640106136302,0.04604345773288536,0.04604345773288536
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,4,0.8695659518241883,1.5363546371459962,1.650790023803711,0.7127272727272727,0.287,0.19266666666666662,0.8921581029891967,1.6068758010864257,1.6109029293060302,0.674,0.20400000000000001,0.20400000000000001,0.7419138431549073,1.642290711402893,1.612217617034912,0.702,0.178,0.20400000000000001,0.21631890341965596,0.1147446143074739,0.01331659276428343,0.08321755041989623,0.12896166527736494,0.026499475885802412,0.04625589708355095,0.00998619699651388,0.0038856187545469644,0.040987803063838375,0.036469165057620934,0.023021728866442666,0.05205861574809098,0.05854679410477368,0.0024295810749849663,0.03346640106136302,0.0370135110466435,0.021908902300206638
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,5,0.8695659518241883,1.6189123153686524,1.6189123153686524,0.7127272727272727,0.242,0.242,0.8921581029891967,1.605613112449646,1.605613112449646,0.674,0.2,0.2,0.7419138431549073,1.610995888710022,1.610995888710022,0.702,0.20400000000000001,0.20400000000000001,0.21631890341965596,0.0406157305438752,0.0406157305438752,0.08321755041989623,0.07904288568731394,0.07904288568731394,0.04625589708355095,0.011684681784565533,0.011684681784565533,0.040987803063838375,0.06964194138592061,0.06964194138592061,0.05205861574809098,0.004172753146050503,0.004172753146050503,0.03346640106136302,0.005477225575051651,0.005477225575051651
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,6,0.8695659518241883,0.6263166218996048,0.01289781276136632,0.7127272727272727,0.9964444444444445,1.0,0.8921581029891967,0.8141489505767823,1.1341704607009888,0.674,0.6779999999999999,0.542,0.7419138431549073,0.9451348185539246,1.343619418144226,0.702,0.628,0.506,0.21631890341965596,0.5900153840676061,0.0018177744105181504,0.08321755041989623,0.003277306934167212,0.0,0.04625589708355095,0.09090344616206625,0.03630031447836064,0.040987803063838375,0.060991802727907614,0.02588435821108952,0.05205861574809098,0.08609946274051392,0.11567334335795108,0.03346640106136302,0.04658325879540843,0.04615192303685731
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,7,0.8695659518241883,0.6054983556270599,0.03159625530242916,0.7127272727272727,0.9862222222222222,1.0,0.8921581029891967,1.317912220954895,1.3091915369033813,0.674,0.496,0.46399999999999997,0.7419138431549073,1.5532402276992798,1.411653995513916,0.702,0.466,0.466,0.21631890341965596,0.5059643652505359,0.008848568773344641,0.08321755041989623,0.02405754418262107,0.0,0.04625589708355095,0.15308196302864063,0.06605938142690056,0.040987803063838375,0.07829431652425353,0.03435112807463535,0.05205861574809098,0.10608638189938827,0.10093941357268604,0.03346640106136302,0.05272570530585626,0.03130495168499704
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,8,0.8695659518241883,1.4554430484771728,1.5766180038452149,0.7127272727272727,0.37299999999999994,0.2633333333333333,0.8921581029891967,1.5987255573272705,1.608723521232605,0.674,0.23399999999999999,0.20600000000000002,0.7419138431549073,1.64332058429718,1.6074287652969361,0.702,0.22199999999999998,0.20400000000000001,0.21631890341965596,0.21147887950764674,0.14222551756049812,0.08321755041989623,0.16461929986756985,0.14518187826921714,0.04625589708355095,0.017914402513011046,0.006191064243808233,0.040987803063838375,0.05594640292279746,0.036469165057620934,0.05205861574809098,0.09726671725656674,0.01064170240490238,0.03346640106136302,0.049699094559156706,0.03286335345030996
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,9,0.8695659518241883,0.32713825404644015,0.01795589383691544,0.7127272727272727,0.9982222222222223,1.0,0.8921581029891967,0.2758159965276718,0.3370432794094086,0.674,0.9120000000000001,0.9040000000000001,0.7419138431549073,0.8831119537353516,0.905673599243164,0.702,0.696,0.6839999999999999,0.21631890341965596,0.19945386971621795,0.010566181489687874,0.08321755041989623,0.0009938079899998217,0.0,0.04625589708355095,0.048729714329152574,0.061517453081312685,0.040987803063838375,0.02167948338867882,0.027018512172212617,0.05205861574809098,0.09321629252709478,0.16984872975752152,0.03346640106136302,0.026076809620810583,0.07231873892705817
bs128_lr0.0001_distAE_wd0.001_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse_debugFalse,10,0.8695659518241883,0.4549857974052429,0.04173740111291404,0.7127272727272727,0.97,1.0,0.8921581029891967,1.2677253246307374,1.4306429147720336,0.674,0.536,0.414,0.7419138431549073,1.270630168914795,1.4710400104522705,0.702,0.538,0.404,0.21631890341965596,0.21084700988896843,0.030746994383168684,0.08321755041989623,0.05301409083593241,0.0,0.04625589708355095,0.1070072907474732,0.08782622276032359,0.040987803063838375,0.039115214431215926,0.042190046219457954,0.05205861574809098,0.1108771306399622,0.1048071671228593,0.03346640106136302,0.03633180424916992,0.032093613071762436
