base_hp_config,subject,pool_type,run_id,pool_size,pool,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,pooled,12,3,2_7_11,0.4042982161045074,0.925,0.5635506510734558,0.79,0.4409742951393127,0.83
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,pooled,13,3,2_7_11,0.3669580817222595,0.8788888888888889,0.5857918858528137,0.76,0.3933431357145309,0.85
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,2,pooled,14,3,2_7_11,1.1351559162139893,0.8277777777777777,0.6900637149810791,0.77,0.6100338846445084,0.78
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,10,1,3,1.120298147201538,0.6583333333333333,1.452942132949829,0.38,1.51958566904068,0.37
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,11,1,3,0.0207850262522697,1.0,1.4152531623840332,0.43,1.396571934223175,0.45
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,12,1,3,0.9843536615371704,0.6533333333333333,1.560712814331055,0.32,1.615647792816162,0.32
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,13,1,3,0.6082807183265686,0.8566666666666667,1.5461187362670898,0.33,1.4436448216438291,0.36
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,single,14,1,3,1.6814090013504028,0.2033333333333333,1.6093318462371826,0.17,1.6090524792671204,0.22
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,10,3,3_11_10,1.02921462059021,0.875,1.126651167869568,0.64,1.2291725277900696,0.54
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,11,3,3_11_10,0.474852442741394,0.8877777777777778,1.2354434728622437,0.51,1.484872579574585,0.43
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,12,3,3_11_10,0.1810096502304077,0.8383333333333334,1.0535982847213743,0.63,1.105803906917572,0.56
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,13,3,3_11_10,0.3420322239398956,0.8516666666666667,1.0140693187713623,0.59,1.0973265171051023,0.61
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,3,pooled,14,3,3_11_10,0.1327585875988006,0.9077777777777778,1.2669358253479004,0.55,1.374926507472992,0.49
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,10,1,4,1.6119492053985596,0.2,1.6091508865356443,0.21,1.6101418733596802,0.17
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,11,1,4,1.689110279083252,0.175,1.6139700412750244,0.16,1.614410638809204,0.16
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,12,1,4,1.6097323894500732,0.1866666666666666,1.6086015701293943,0.24,1.6074019074440002,0.24
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,13,1,4,1.4677966833114624,0.44,1.6054459810256958,0.24,1.6479544043540957,0.19
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,single,14,1,4,1.5808002948760986,0.3166666666666666,1.6040250062942505,0.25,1.6156125664711,0.22
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,10,4,4_5_11_7,1.563780665397644,0.2841666666666667,1.584606647491455,0.25,1.640663504600525,0.2
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,11,4,4_5_11_7,1.602434754371643,0.2729166666666666,1.6114888191223145,0.21,1.6440035104751587,0.16
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,12,4,4_5_11_7,1.6312637329101562,0.1675,1.614154577255249,0.18,1.615255892276764,0.21
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,13,4,4_5_11_7,1.554709792137146,0.25125,1.5799962282180786,0.22,1.628515362739563,0.19
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,4,pooled,14,4,4_5_11_7,1.6404672861099243,0.2329166666666666,1.5927770137786863,0.19,1.6125940084457395,0.18
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,10,1,5,1.530982255935669,0.345,1.6107475757598877,0.25,1.6190243363380432,0.21
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,11,1,5,1.5926433801651,0.3283333333333333,1.5980687141418457,0.22,1.6033053994178772,0.23
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,12,1,5,1.5942565202713013,0.2016666666666666,1.6090595722198486,0.2,1.6214848160743711,0.2
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,13,1,5,1.7130900621414185,0.2,1.6157667636871338,0.23,1.6071840524673462,0.24
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,single,14,1,5,1.6084144115447998,0.1633333333333333,1.608999252319336,0.18,1.60956209897995,0.17
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,10,8,5_6_10_11_9_3_1_2,1.25218665599823,0.6172916666666667,1.249131441116333,0.5,1.400410771369934,0.44
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,11,8,5_6_10_11_9_3_1_2,1.3219213485717771,0.4710416666666667,1.3569302558898926,0.46,1.453665912151337,0.45
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,12,8,5_6_10_11_9_3_1_2,1.315532088279724,0.4710416666666667,1.4041178226470947,0.36,1.476101815700531,0.39
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,13,8,5_6_10_11_9_3_1_2,0.7451415061950684,0.6575,1.3737006187438965,0.43,1.4821835160255432,0.36
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,5,pooled,14,8,5_6_10_11_9_3_1_2,0.9387506246566772,0.7310416666666667,1.308487892150879,0.43,1.4177225232124329,0.42
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,10,1,6,0.0683318302035331,0.9783333333333334,1.1428568363189695,0.61,1.5997231006622314,0.5
bs64_lr0.001_distAE_wd0.01_filterlen40_learndecoderFalse_schedulerTrue_windows0_dropout0.0_loralr0.0_preprocessorFalse_preencoderFalse_cutfillFalse_learnpredecoderFalse_learnloraFalse,6,single,11,1,6,0.0925613939762115,0.9933333333333332,0.9674749970436096,0.59,1.529150366783142,0.46
